base_fccs,hex
-9999,#FFFFFF
0,#BFBFBF
100,#FFC66B
101,#FF27D0
103,#9FFF80
105,#C0FF8A
13,#005C00
2,#005200
237,#6B95E4
238,#8A61D6
318,#FF7936
321,#005200
322,#005200
323,#FF692E
324,#9FFF80
325,#9FFF80
326,#49ABBA
327,#523422
328,#C24415
329,#195D91
330,#FF0000
331,#92EDE0
332,#B6FAE3
333,#FFD377
334,#195D91
335,#FF692E
336,#852708
337,#E484C0
338,#51B496
339,#806145
340,#963A0C
341,#FF491C
350,#B6FAE3
351,#D48122
355,#005200
356,#BAA377
357,#124C87
358,#A64C11
359,#FF3112
493,#FF9900
494,#FA6438
530,#FF7F3B
85,#3289A8
87,#3289A8
88,#3289A8
89,#3289A8
900,#36454F
91,#9FFF80
92,#FF692E
93,#C0FF8A
94,#B6FAE3
95,#49ABBA
97,#FFFFFF
98,#523422
99,#FF7936
