base_fccs,area_percentage
214,28
39,16
12,12
0,8
16,7
37,7
15,4
14,2
44,2
533,2
20,1
22,1
303,1
308,1
357,1
36,1
427,1
530,1
61,1
11,<1
1244,<1
1247,<1
1261,<1
1273,<1
1281,<1
2,<1
210,<1
212,<1
213,<1
219,<1
220,<1
222,<1
224,<1
233,<1
235,<1
236,<1
237,<1
287,<1
30,<1
301,<1
302,<1
305,<1
307,<1
310,<1
311,<1
313,<1
315,<1
316,<1
329,<1
358,<1
360,<1
361,<1
401,<1
409,<1
41,<1
426,<1
43,<1
435,<1
46,<1
48,<1
489,<1
493,<1
494,<1
498,<1
506,<1
52,<1
528,<1
529,<1
53,<1
532,<1
55,<1
56,<1
57,<1
59,<1
65,<1
69,<1
77,<1
8,<1
