Type,Severity,Time step,DistCode
Fire,Low Severity,1,111
,,2,112
,,3,113
Fire,Moderate Severity,1,121
,,2,122
,,3,123
Fire,High Severity,1,131
,,2,132
,,3,133
Mechanical Add Loading,Low Severity,1,211
,,2,212
,,3,213
Mechanical Add Loading,Moderate Severity,1,221
,,2,222
,,3,223
Mechanical Add Loading,High Severity,1,231
,,2,232
,,3,233
Mechanical Remove Loading,Low Severity,1,311
,,2,312
,,3,313
Mechanical Remove Loading,Moderate Severity,1,321
,,2,322
,,3,323
Mechanical Remove Loading,High Severity,1,331
,,2,332
,,3,333
Wind Event,Low Severity,1,411
,,2,412
,,3,413
Wind Event,Moderate Severity,1,421
,,2,422
,,3,423
Wind Event,High Severity,1,431
,,2,432
,,3,433
Insects and Disease,Low Severity,1,511
,,2,512
,,3,513
Insects and Disease,Moderate Severity,1,521
,,2,522
,,3,523
Insects and Disease,High Severity,1,531
,,2,532
,,3,533
Exotics,Low Severity,1,611
,,2,612
,,3,613
Exotics,Moderate Severity,1,621
,,2,622
,,3,623
Exotics,High Severity,1,631
,,2,632
,,3,633
Other,Low Severity,1,711
,,2,712
,,3,713
Other,Moderate Severity,1,721
,,2,722
,,3,723
Other,High Severity,1,731
,,2,732
,,3,733
Not Disturbed,None,0,0
